male,white,something else
female,white,something else
male,white,something else
male,white,something else
female,white,something else
female,white,something else
female,white,something else
female,white,something else
male,white,straight
male,white,something else
female,white,bisexual
male,white,gay
male,white,gay
female,white,gay
female,white,something else
male,white,straight
male,white,something else
male,white,straight
female,white,something else
female,white,something else
female,white,bisexual
male,white,bisexual
female,white,something else
male,white,bisexual
female,white,bisexual
male,white,something else
female,white,bisexual
female,white,something else
female,chinese,something else
male,white,something else
male,white,straight
male,black,something else
male,white,something else
female,white,straight
male,white,bisexual
female,black,gay
female,white,straight
male,white,something else
female,white,gay
male,white,bisexual
male,white,bisexual
female,white,something else
female,white,gay
male,white,something else
male,white,something else
male,white,something else
male,white,something else
female,white,something else
female,white,bisexual
male,white,bisexual
male,white,something else
female,white,something else
male,white,straight
female,white,bisexual
male,white,something else
male,white,bisexual
male,white,something else
female,white,bisexual
male,white,bisexual
male,white,something else
male,white,bisexual
male,white,something else
male,white,straight
female,white,gay
female,white,something else
male,white,straight
female,white,straight
female,white,something else
female,black,straight
female,black,gay
female,white,gay
male,white,bisexual
male,black,straight
female,black,something else
male,white,something else
male,white,bisexual
female,white,something else
female,white,straight
female,black,gay
male,white,straight
female,white,something else
female,black,something else
female,white,bisexual
female,white,gay
female,chinese,bisexual
male,white,bisexual
male,white,something else
male,filipino,bisexual
female,white,something else
male,white,something else
male,white,straight
male,white,bisexual
female,white,gay
male,white,something else
male,white,something else
male,white,something else
female,white,something else
female,white,gay
female,white,something else
female,white,something else
female,white,something else
male,white,bisexual
female,white,something else
female,filipino,gay
female,white,straight
female,white,something else
female,white,straight
female,white,gay
male,white,straight
female,filipino,straight
female,white,something else
male,black,gay
male,black,something else
female,white,something else
female,black,something else
male,white,something else
female,white,bisexual
male,white,something else
female,white,something else
male,white,bisexual
male,white,something else
female,white,something else
female,white,something else
female,white,gay
female,white,gay
male,white,gay
male,white,straight
female,white,bisexual
male,white,something else
male,white,something else
male,white,something else
female,white,something else
male,white,straight
male,white,bisexual
female,white,bisexual
female,white,something else
male,white,straight
male,white,bisexual
female,filipino,bisexual
female,white,gay
female,white,bisexual
female,white,straight
male,white,straight
female,white,gay
male,white,straight
male,white,bisexual
male,white,gay
female,white,something else
male,white,something else
female,white,bisexual
female,white,something else
female,white,bisexual
female,white,straight
male,white,something else
male,white,straight
male,black,gay
male,white,something else
male,filipino,straight
female,black,straight
male,white,something else
female,white,bisexual
male,black,bisexual
female,white,something else
female,black,something else
female,white,bisexual
male,white,bisexual
male,white,something else
male,white,bisexual
female,filipino,bisexual
male,white,something else
male,white,something else
female,white,bisexual
male,white,something else
female,black,bisexual
female,white,gay
female,white,bisexual
male,white,something else
male,black,something else
female,black,gay
male,black,something else
female,white,gay
male,white,something else
female,white,something else
male,white,something else
female,black,gay
male,white,something else
male,black,something else
female,white,bisexual
male,white,something else
female,chinese,something else
male,white,straight
male,white,bisexual
male,white,straight
male,white,straight
male,white,something else
female,black,bisexual
female,white,straight
male,white,bisexual
male,white,gay
male,white,straight
male,white,bisexual
female,white,gay
male,white,straight
male,white,bisexual
male,white,bisexual
male,white,bisexual
female,white,something else
male,white,something else
female,white,straight
female,white,gay
male,white,bisexual
female,white,straight
male,black,bisexual
male,white,something else
female,white,something else
female,white,something else
female,white,bisexual
male,black,straight
male,white,gay
female,black,straight
male,white,gay
male,white,bisexual
female,black,something else
male,white,something else
female,white,something else
female,white,bisexual
female,white,bisexual
female,white,gay
male,white,bisexual
male,chinese,something else
male,white,something else
female,white,bisexual
male,white,bisexual
female,white,something else
male,white,straight
male,white,something else
female,white,something else
female,white,something else
male,white,something else
female,white,gay
female,white,something else
male,white,bisexual
male,white,gay
male,black,something else
female,white,something else
male,white,bisexual
male,white,gay
female,white,something else
female,white,gay
female,white,something else
male,white,bisexual
male,white,something else
male,white,something else
male,white,straight
female,white,something else
male,white,gay
